Időbélyeg,"1. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","2. Az első hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","3. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","4. A második hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","5. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","6. A harmadik hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","7. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","8. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","9. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?",10. Hogyan értékelnéd saját régiód nyelvváltozatát – nyelvjárását?,11. Mely helyzetekben használod a saját nyelvváltozatodat – nyelvjárásodat? (Több választ is megjelölhetsz!),12. Véleményed szerint te ismered a saját régiód nyelvjárását?,13. Szerinted előny vagy hátrány a nyelvjárás ismerete?,14. Mely helyzetekben használsz köznyelvi változatot? (Több választ is megjelölhetsz!),15. Véleményed szerint beszéled a magyarországi magyar köznyelvet?,16. Szerinted van különbség a Magyarországon és a Szlovákiában használt magyar nyelv között?,"17. Tett-e már valaki megjegyzést arra, ahogyan beszéltél?","18. Amennyiben tett már valaki megjegyzést a beszédedre, milyen helyzetben történt? Mit kifogásoltak? ",19. Mi a nemed?,20. Mi a nemzetiséged?,21. Mi az anyanyelved?,22. Melyik településen élsz?,23. Milyen típusú iskola diákja vagy?,24. Hányadik osztályba jársz?,25. Milyen nyelven zajlik az oktatás az általad látogatott képzésen?,26. Iskola,27. Iskola régiója,28. Lakhely régiója
5/27/2022 17:46:53,teljesen elfogadható,nem,teljesen elfogadható,nem,teljesen elfogadható,nem,teljesen elfogadható,inkább nem elfogadható,inkább nem elfogadható,semleges,"családi beszélgetésben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,nem,,lány,magyar,magyar,Párkány,gimnázium,1.,magyar nyelven,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:48:51,inkább elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,nem tudom megítélni,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",szerintem elég jól,előny,"iskolában a szünetben, iskolában az órákon, levélben vagy fogalmazás írása közben",szerintem elég jól,igen,igen,"Beszélgetés közben azt, hogy beszéljek magyarosabban",lány,magyar,magyar,Párkány,gimnázium,1.,magyar nyelven,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:51:07,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,inkább elfogadható,teljesen elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben",szerintem elég jól,igen,igen,Beszélgetés közben a kiejtésemre.,lány,magyar,magyar,Érsekkéty,gimnázium,1.,magyar nyelven,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:53:31,inkább elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,hasonlít,nem tudom megítélni,inkább nem elfogadható,inkább nem elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",talán egy kicsit,előny,"baráti beszélgetésben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,"Az iskolában történt, mindenki teljesen máshogy beszélt és furának/nevetségesnek tartották az én beszédstílusomat. Azóta odafigyelek erre.",lány,magyar,magyar,Szalka,gimnázium,1.,magyar nyelven,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:55:03,inkább elfogadható,hasonlít,inkább elfogadható,igen,teljesen elfogadható,igen,nem tudom megítélni,inkább nem elfogadható,inkább nem elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",talán egy kicsit,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben",inkább nem,igen,nem,,fiú,magyar,magyar,Köbölkút,gimnázium,1.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:56:51,nem tudom megítélni,nem tudom,nem tudom megítélni,nem tudom,inkább elfogadható,hasonlít,inkább nem elfogadható,nem tudom megítélni,inkább elfogadható,semleges,"baráti beszélgetésben, iskolában az órákon, e-mailben, SMS-ben, chaten",szerintem elég jól,nem tudom,"családi beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",igen,igen,igen,"A szavakat, amiket, hogy szerinte furcsa.",lány,magyar,magyar,Búcs,gimnázium,1.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:59:38,teljesen elfogadható,nem,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,teljesen elfogadható,teljesen elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"iskolában az órákon, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,igen,"Egerben voltunk egy verseny Kárpát-medencei fordulóján. Magyaroszági és külhoni magyarok is voltak. A magyaroroszágiak megemlítették nekem, hogy hallatszik rajtam, hogy nem Magyarországról vagyok, van kis tájszólásom és számukra ismeretlen szavakat is használok.",lány,magyar,magyar,Muzsla,gimnázium,2.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:02:07,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,teljesen elfogadható,nem tudom megítélni,nem tudom megítélni,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",igen,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben",igen,igen,igen,"Egy Budapesti tanfolyamon a tanárom azt mondta, hogy szerinte azért nem merek annyit beszélni mert szlovákiai magyar vagyok és félek, hogy kritizálni fognak.",lány,magyar,magyar,Kőhídgyarmat,gimnázium,2.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:09:59,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",egyáltalán nem,igen,igen,"Nem értették a szavak jelentését, az akcentrusomon nevettek.",lány,magyar és szlovák,magyar,"Szlovákia, felvidék (Párkány)",gimnázium,2.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:12:02,inkább elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,inkább nem elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,"Azt, hogy az ""é"" betűt ""í""-nek ejtem.",lány,magyar,magyar,Búcs,gimnázium,2.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:14:00,inkább elfogadható,nem,teljesen elfogadható,igen,inkább elfogadható,igen,teljesen elfogadható,inkább elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben",talán egy kicsit,előny,"családi beszélgetésben, iskolában a szünetben",talán egy kicsit,igen,nem,,lány,magyar,magyar,Muzsla,gimnázium,2.,magyar nyelven,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:15:42,inkább elfogadható,nem,inkább elfogadható,nem,inkább elfogadható,igen,inkább nem elfogadható,inkább elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal",szerintem elég jól,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, magyarországi magyarokkal, szlovákiai magyarokkal",igen,igen,nem,,fiú,magyar,magyar,Nána,gimnázium,2.,magyar nyelven,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:17:46,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,hasonlít,teljesen elfogadható,inkább elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",talán egy kicsit,előny,"magyarországi magyarokkal, levélben vagy fogalmazás írása közben",igen,igen,igen,,lány,magyar és szlovák,szlovák,Ipolykiskeszi,gimnázium,1.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:20:08,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,inkább elfogadható,inkább nem elfogadható,inkább nem elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",talán egy kicsit,előny,"magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,igen,Lényegében csak a kiejtésemet szólták meg.,fiú,szlovák,magyar,Búcs,gimnázium,2.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:21:47,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,hasonlít,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal",szerintem elég jól,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",igen,igen,nem,,fiú,magyar,magyar,Szőgyén,gimnázium,2.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:23:19,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,teljesen elfogadható,nem tudom megítélni,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",igen,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,nem,,lány,magyar,magyar,Kéménd,gimnázium,2.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:25:02,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,inkább elfogadható,hasonlít,teljesen elfogadható,inkább nem elfogadható,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben",talán egy kicsit,nem tudom,"iskolában az órákon, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,nem,,fiú,magyar,magyar,Karva,gimnázium,2.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:27:04,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,nem tudom megítélni,inkább nem elfogadható,inkább nem elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal",szerintem elég jól,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, magyarországi magyarokkal, szlovákiai magyarokkal",talán egy kicsit,igen,igen,"Egy baráti beszélgetés alatt történt, amiért másképp használtam az adott szavakat.",lány,magyar és szlovák,magyar,Szalka,gimnázium,2.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:29:16,teljesen elfogadható,hasonlít,inkább elfogadható,hasonlít,teljesen elfogadható,hasonlít,inkább elfogadható,inkább nem elfogadható,inkább nem elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",szerintem elég jól,előny,"magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,igen,"A nyelvjárásomból eredő hanglejtést, beszédmódot kritizálták.",lány,magyar,magyar,Sárkányfalva,gimnázium,2.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:31:21,teljesen elfogadható,nem,teljesen elfogadható,igen,teljesen elfogadható,igen,inkább elfogadható,inkább nem elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",igen,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,"Olyan szót használtam egy tárgy megnevezésére, amelyet csak a mi nyelvjárásunkban használnak rá.",fiú,magyar,magyar,Párkány,gimnázium,2.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:32:54,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,nem tudom megítélni,inkább nem elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben",talán egy kicsit,előny,"iskolában az órákon, magyarországi magyarokkal",szerintem elég jól,igen,nem,,fiú,magyar,magyar,Párkány,gimnázium,2.,magyar nyelven,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:34:29,inkább elfogadható,nem,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,inkább elfogadható,nem tudom megítélni,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",igen,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,nem,,fiú,magyar,magyar,Párkány,gimnázium,2.,magyar nyelven,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:37:09,inkább nem elfogadható,nem,nem tudom megítélni,hasonlít,inkább elfogadható,hasonlít,nem tudom megítélni,inkább elfogadható,inkább elfogadható,semleges,"baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",talán egy kicsit,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,"Játszás közben (online), kiejétsben, de nem negatív megjegyzés volt.",fiú,magyar,magyar,Párkány,gimnázium,2.,magyar nyelven,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:39:21,inkább elfogadható,nem,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,inkább nem elfogadható,inkább nem elfogadható,teljesen elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben",szerintem elég jól,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,igen,"Több évet jártam iskolába Magyarországon, és egyszer az osztálytársaim megjegyezték, hogy hallani, hogy máshogy beszélek.",lány,magyar,magyar,Szőgyén,gimnázium,2.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 18:41:20,inkább elfogadható,nem,inkább elfogadható,igen,inkább elfogadható,hasonlít,teljesen elfogadható,nem tudom megítélni,inkább elfogadható,semleges,"családi beszélgetésben, szlovákiai magyarokkal",szerintem elég jól,előny,"baráti beszélgetésben, iskolában az órákon, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,igen,"Pozitív megjegyzésnek mondanám mivel kifejezetten tetszett nekik az, hogy picit máshogy beszélek.",fiú,magyar,magyar,Párkány,gimnázium,3.,magyar nyelven,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
